a	It is a little speech that I have written for him.
abruptness	Darian watched her, startled by her abruptness.
abruption	Carla had her first baby at 19 years old and suffered a placental abruption.
abscond	The Treasurer was a member whose legs were burned, this ensured he could not abscond with the funds!
absence	He explained the absence of his fangs.
absent	Felipa nodded, her gaze becoming absent again.
abscission	A number of methods are used to delay petal abscission artificially, including the use of chemicals.
absenteeism	The crime of plurality, the holding by one cleric of two or more benefices, was especially attacked, as also clerical absenteeism and ignorance, and laxity in the monastic life.
abscissae	The ordinates of the curve give the strain in cwts., and the abscissae the distance in miles measured from the Canso end; as the strain is proportional to the depth, 18 cwts.
abrupt	He caught her arm, bringing her to an abrupt halt.
absolute	Jonny has the key to absolute power.
abscess	Pus being found, the abscess should be freely opened and drained.
absolution	Penance accompanied by the judicial absolution of the priest makes a true sacrament.
absentee	At least he was never an absentee in heart.
abseil	After reaching the floor we tried to pull the ropes through from the abseil point at the top of the crag.
absinthe	Be warned, absinthe is highly alcoholic and can make people a little crazy.
absoluteness	God reveals Himself in the logical idea, in nature and in mind; but mind is not alike conscious of its absoluteness in every stage of development.
absently	He looked uncomfortable and his gaze shifted absently to the cabinets.
absolve	He can only absolve you from mortal sins.
absorb	I have enough acreage and cattle to absorb some of the loss.
absolutist	Like her brother, she had all the domestic virtues, and, as was to be expected of a sister of Louis XVI., she was in favour of absolutist principles.
absolutism	This is perhaps the best that can be said of a king who incarnated the stolid absolutism of the period.
absorbability	In regard to water, all soils have two actions - namely, permeability and absorbability.
absorbable	Interceed absorbable adhesion barrier is composed of oxidized regenerated cellulose.
absorbency	If the look of your towel is as important to you as its absorbency, this is the best way to go.
absorption	Mention may be made of the absorption spectrum of benzene.
absorptive	The part in contact with the endosperm is plate-like, and is known as the scutellum; the surface in contact with the endosperm forms an absorptive epithelium.
abstain	During Lent, many religious people decide to abstain from something to focus more clearly on God.
absolutely	Cookies are absolutely forbidden.
absorber	This is chiefly due to the fact that in the former the heat of vaporization acquired in the refrigerator is rejected in the absorber, so that the whole heat of vaporization has to be supplied again by the steam in the generator.
absorbing	Alex nodded, soberly absorbing the information.
absorbent	In special cases, such as the preparation of edible oils and fats, a further improvement in colour and greater purity is obtained by filtering the oils over charcoal, or over natural absorbent earths, such as fuller's earth.
abstemious	Abstemious in his habits, he possessed great physical endurance.
abstinence	A nearly vegetarian diet and a complete abstinence from alcoholic stimulants is the ideal in such cases, but it must be modified to suit individuals, as sometimes very strict limitations prove injurious.
abstinent	Trusting that one talk geared toward sex education for teens will keep them abstinent until their wedding night is an ignorant way of thinking.
abstaining	Swine are very rarely kept, and then almost wholly for the European inhabitants, the Copts generally abstaining from eating their meat.
abstention	Sir George Grey found it impossible to maintain a policy of total abstention from the affairs of the republics.
abstract	They had no abstract ideas; in their minds all was concrete, visible and tangible.
abstemiously	Please eat and drink abstemiously at this event, we don't have enough for everyone to eat seconds.
absorbed	She took his hand and absorbed what she could of his power.
abstracted	Similarly an absent-minded man is said to be abstracted, as paying no attention to the matter in hand.
abstractly	At the same time it connects itself with the second problem, how to attain in conjunction with the abstractly rational character of the absolute an explanation of actuality.
abstruse	Dr. Bell is proficient in many fields of science, and has the art of making every subject he touches interesting, even the most abstruse theories.
absurd	It had an absurd ritual and a strange uniform.
absurdity	She pulled back and shook her head at the absurdity of his entrance.
abundance	The unhealthy lagoons contain abundance of fish.
abstraction	In the case of solid figures a more difficult geometrical abstraction is involved.
abundant	Pigs and goats were then abundant on the islands.
abuser	The abuser uses physical force or threats to intimidate the victim.
absurdly	The price at which the corn was sold was always moderate; the corn law of Gracchus (123 B.C.) made it absurdly low, and Clodius (58 B.C.) bestowed it gratuitously.
abusiveness	Their crude productions, for the most part, were conspicuous rather for insolence and abusiveness than for logic or learning.
abut	Both ranges abut at their eastern or E.N.E.
abusive	He flew into an abusive rage when he saw it.
abuzz	The Peak was abuzz with activity when Lana arrived several hours later.
abundantly	Tree frogs were chirping so abundantly that they sounded like crickets.
abutilon	Climbers starring this month are many of the clematis, abutilon, climbing roses and the honeysuckle (lonicera japonica ).
abyss	She glanced down at the black abyss before them.
abutting	Moonlight spilled over large buildings with triangular roofs into community squares abutting stacked parking lots.
abutment	The abutment towers are similar to the river towers.
abysmal	The red-clay is an abysmal formation, occurring in the sea bottom in the deepest part of the oceans.
academe	There is also access to thoughtful and provocative essays by opinionated people inside and outside academe on an array of subjects.
abuse	Fine, but I'm not going to let him verbally abuse you.
acacia	The acacia abounded on the borders of the valley, but the groves were gradually cut down for the use of the carpenter and the charcoal-burner.
academically	The parents were proud of their son for making good grades because he normally struggled academically.
academia	Degrees earned are of paramount significance in academia.
academical	He soon obtained various academical honours, and became professor of theology in 1511.
academician	He was elected a full academician in 1888, and an honorary member of the Royal Academy of Munich.
academic	Quinn is our age but he jumped two school grades on academic excellence.
acanthus	Another species, Acanthus spinosus, is so called from its spiny leaves.
academy	I am going to put you in the academy there.
abyssal	It must, therefore, be supposed that abyssal forms have gradually acquired such tolerance of darkness as makes their health independent of the sun.
acari	These larvae are minute oval creatures with a comparatively short apically fringed caudal prolongation and furnished with two pairs of short two-clawed processes, which may represent the limbs of anthropods and possibly the two pairs of legs found in Acari of the family Eriophyidae.
accede	The senior command did not accede to these requests.
acas	This is the advice received from Acas.
accelerate	To accelerate the proceedings of the committee it was decided to meet weekly instead of monthly.
accelerating	Hence they are very commonly made unstable, or accelerating, i.e.
acceleration	The acceleration therefore remains the same, and the velocity is unaltered.
accelerant	The dog is trained to indicate the presence of any fire accelerant.
accent	Maybe it was the soft accent that held her attention.
accept	Give her a little time to accept the idea.
accelerator	His foot pressed harder on the accelerator and the car jumped forward.
accentor	The so-called hedge-sparrow (Accentor modularis), really a member of this group, is one of the successful introductions into New Zealand.
accelerometer	It is a surface micromachined piezoelectric accelerometer employing a zinc oxide (ZnO) active piezoelectric film.
acceptance	Apparently her calm acceptance encouraged him to continue.
acceptability	Dianna agreed that focusing on the regulatory morass and public acceptability was appropriate.
accentuation	But, even within the pale of the Roman Church, this identification provokes emphatic dissent, and is repudiated by all who are shocked by the effects of a onesided accentuation of political Catholicism on the inner life of the church, and are reluctant to see the priest playing the part of a political agitator.
acceptation	By the decree of Canopus, Ptolemy III.Euergetes introduced through the assembly of priests an extra day every fourth year, but this reform had no acceptation until it was reimposed by Augustus with the Julian calendar.
acceptably	After the five-course banquet, Tyler's stomach was acceptably full.
access	You gave Howard access to the checking account.
accessible	The harbour is only accessible to small vessels.
acceptor	If any buried hydrogen bond donors do not have an acceptor, they are listed.
accession	The dates of his accession and death are unknown.
accentuate	There are several strategies to choose the right eye shadow to best accentuate your eye color.
accessibility	Perhaps the most remarkable traits in Longfellow's character were his accessibility and his charity.
accidentally	I can cover up the girls who accidentally get hit by cars.
acceptable	She had continued her classes and was somehow maintaining acceptable grades.
accessories	The top was clean except for accessories and a few letters standing upright in a sorter.
accipiter	Kenya's largest accipiter, usually found alone or in pairs with a pair needing a territory of around 13 sq Km in Kenya.
acclamation	But when he concludes the prayer and thanksgiving all the people present answer with acclamation ` Amen.'
acclaim	At William's coronation it was he who called on them to acclaim their duke as king.
accepted	I offered to help and you accepted my offer.
acclimate	It took me only a few days to acclimate to the new school.
accepting	She's accepting her role.
accidental	An accidental circumstance, however, occurred at this moment which largely affected his future.
accident	A car accident killed them both.
accolade	It was the biggest accolade in the industry.
accommodate	I only have one sleeping bag, and it will only accommodate one person.
acclimatize	One great object of their experiments was to introduce and acclimatize exotic cottons.
accommodation	All hope of an accommodation was, however, in vain.
acclivity	It is delightfully situated on a bold acclivity, one mile E. from the church.
acclimatization	In none of these cases is there any indication that acclimatization was necessary or ever took place.
accompaniment	He played, but when he tried to sing to the accompaniment of the instrument, his feelings overcame him.
accompany	I suggest you accompany me home.
accomplice	The officer was shot and killed by Brancato's accomplice.
accommodating	There are also the bull-ring, capable of accommodating 8000 spectators, the pelota court (el Trinquete) and several parks or gardens.
accomplished	You set your goal and accomplished it.
accomplishment	What an accomplishment that is!
accommodative	Aspects of the human condition include exotropia, accommodative esotropia, A and V patterns, dissociated vertical deviation and latent nystagmus.
accord	Hurmuzescu shows that these results are in accord with theory.
accordance	After the advance has begun in this manner, orders will be given in accordance with the enemy's movements.
accessory	There are no accessory generative organs.
according	According to the invitation, the party will be held in the main entrance near the Christmas tree.
accompanist	David in fact started off as a tenor in the choir, but his value as a superb accompanist was soon recognized.
accordant	The evidence afforded by these instruments is not, however, altogether accordant.
account	That account has $10,000 in it.
accountable	Another held him accountable, with remorse causing him to take his own life.
accountancy	This body brings together all the accountancy bodies in the world.
accordion	Brandon stood, his tall form unfolding like an accordion until he towered over her again.
accountant	He was, after all, taking time off work during the busiest time of the year for an accountant to be with her.
accountability	Landon, start taking accountability of dealers and compasses throughout the day.
accredit	The university won't accredit students who cheat in any way.
accredited	Two hundred and fifty schools are accredited by the university of Michigan.
accomplish	It seemed very doubtful whether he would accomplish his desire.
accordingly	Accordingly I copied the story and sent it to him for his birthday.
accoutrement	Hailey searched for months to find the perfect accoutrement to accent her wedding outfit.
accoutrements	She emerged from the kitchen with a tray laden with coffee and its accoutrements, a slice of pie and water.
accounting	Moliere's manner of accounting for this is famous in literary history or legend.
acculturation	He is researching acculturation through personal ornamentation in the north of Roman Britain.
accumulate	They were unable to accumulate enough evidence to make a well-written claim.
accrue	They were so pleased with the resources of the country that on.their return to Holland they represented to the directors of the company the great advantages that would accrue to the Dutch Eastern trade from a properly provided and fortified station of call at the Cape.
accretion	The opening of railway communication with London in 1906 resulted in a considerable accretion of residential population.
accumulative	Though controlling anger might seem a daunting and formidable task, anger management worksheets can help alleviate anger and reduce the accumulative stresses associated with these powerful emotions.
accuracy	Proving their accuracy is up to the authorities.
accurate	But I'm not sure there's any accurate way of proving that one way or the other.
accrual	Czech Airlines reserves the right to make partial or full disqualification of some discount tariffs from mileage accrual.
accursed	Lamplighters used to light street lamps every night, before the accursed electricity came along.
accumulator	The effective electromotive force of the common lead accumulator is less than that required to charge it.
accusation	The history of this accusation is by no means clear.
accusative	The relative pronouns are nominative and accusative a, oblique cases ydd, yr, y.
accusatory	You will want to confront her eventually about it, but not in an accusatory manner in case you are wrong.
accustomed	Obviously he was accustomed to socializing on a high level.
accusingly	He squinted accusingly at Elisabeth.
accuser	The accused himself would be hot to eliminate his accuser.
accumulation	This second matter is atmosphere or firmament, which envelops and revolves around the central accumulation of first matter.
accustom	Once you accustom your pet to playing with his new toy when there are treats inside, you can use it to teach him desired behaviors.
acerbic	It was during this performance in which the usually acerbic Simon Cowell stated that he saw Lewis transform from a great singer to a superstar.
accuse	I didn't accuse anyone.
ace	He was back almost immediately, carrying an ace bandage.
acellular	An acellular vaccine contains on parts of the cells which can produce immunity in a person receiving the vaccine.
accused	His voice was calm, but his eyes accused her.
acetabulum	The acetabulum is the socket of the hip joint.
acetic	It is soluble in water and possesses an odour resembling that of acetic acid.
ache	The ache within her deepened at the idea of trusting someone for the first time in her life, and the energy flowing between them grew more intense.
acetone	The acetone dicarboxylic acid, CO(CH 2 CO 2 H) 2, so obtained combines with hydrocyanic acid, and this product yields citric acid on hydrolysis.
acetous	It is strained, deprived of its moisture, and receives an admixture of gamboge, cinnabar, acetous protoxide or some other coloring matter.
acetate	Let us allow dilute sodium acetate to react with dilute hydrochloric acid.
achieve	How do you hope to achieve that?
achievement	His great achievement was the History of Germany in the Nineteenth Century.
aching	A warm shower soothed aching muscles.
accurately	I'll attempt to relate my thoughts and feeling as accurately as possible.
acetylene	For example, ethylene, C2H4 j is formed with absorption of 16200 cal., acetylene, C 2 H 2, with absorption of 59100 cal., and liquid benzene, C 6 H 6, with absorption of 9100 cal.
achiness	Some girls notice achiness in the lower abdomen or a light stain in their underwear and get a sense that menstruation is about to begin.
achlamydeous	Sometimes both are absent, when the flower is achlamydeous, or naked, as in willow.
achievable	Alex had made the horse ranch dream an achievable dream now.
achiever	The club recognized Suzy for being a high achiever in cookie sales.
achilles	If she got desperate enough, that desire might become her husband's Achilles Heel.
achromatic	This was applied to an excellent achromatic telescope of 34 in.
achondroplasia	Scenario 2 The patient̢s story Clinician̢s response Mrs C is concerned about her son who has achondroplasia.
acid	The acid, when distilled slowly, is decomposed and yields a and 0-angelica lactones.
achromatism	He concluded that there could be no refraction without dispersion, and hence that achromatism was impossible of attainment.
achy	She struggled into a sitting position, her neck achy from her spot sleeping on the floor before the fire.
acicular	The difference between schists and gneisses is mainly that the latter have less highly developed foliation; they also, as a rule, are more coarse grained, and contain far more quartz and felspar, two minerals which rarely assume platy or acicular forms, and hence do not lead to the production of a fissile character in the rocks in which they are important constituents.
acidic	The whole of the upper part of the cone consists of grey highly acidic lava.
acidification	The decrease took so long because the free calcium carbonate in the soil was also dissolved by the acidification.
acidosis	One of the most common causes of metabolic acidosis is an overdose of aspirin.
acidity	It tends to destroy insects and weeds, and gets rid of acidity of the soil.
acknowledge	Jessi didn't acknowledge him at all.
acknowledgment	Gerald nodded an acknowledgment to Alex and then his troubled gaze fell on Carmen.
acme	The succeeding century Brought the Empire to the acme of its power, until Henry III.
acidulated	The mucilage must be acidulated with hydrochloric acid before dialysing, to set free the gummic acid.
acknowledgement	Rather, it is an acknowledgement of progress made.
acolyte	When the pope rode in procession to the station an acolyte, on foot, preceded him, bearing the holy chrism; and at the church seven regionary acolytes with candles went before him in the procession to the altar, while two others, bearing the vessel that contained a pre-consecrated Host, presented it for his adoration.
acnode	The centre is a conjugate point (or acnode) and the curve resembles fig.
acoustic	Its acoustic properties are said to be almost perfect, and it has been named the Auditorium.
aconite	There is one condition of the heart itself in which aconite is sometimes useful.
acorn	If we plant an acorn in the ground, an oak tree will grow.
acquaintance	He's not a casual acquaintance whom you barely know.
acoustically	The entire ceiling area was faced with acoustically absorbent material.
acquainted	We are acquainted with a mere pellicle of the globe on which we live.
acquiescence	It is true that silence does not necessarily mean acquiescence.
acquaint	Acquaint thyself with a physician before thou have need of him.
acquire	We meet at very short intervals, not having had time to acquire any new value for each other.
acoustical	Such curves are often traced mechanically in acoustical and other experiments.
acquisitive	From here however, the company became increasingly acquisitive and ambitious.
acoustics	A large bare floor is undoubtedly bad for acoustics, for when a room is filled by an audience the hearing is much improved.
acquiesce	He will acquiesce simply because he is a sick man.
acne	Excessive sweating or being in a humid climate can cause acne to flare up.
acquittal	The jury quickly agreed on a verdict of not guilty, and the acquittal was greeted by the populace with shouts of triumph.
acquirement	Though an acquired or superimposed character is not transmitted to offspring as the consequence of the action of the external agencies which determine the acquirement, yet the tendency to react to such agencies possessed by the parent is transmitted and may be increased and largely developed by survival, if the character developed by the reaction is valuable.
acrid	The acrid smell of cigarette ashes burned her nose and brought tears to her eyes.
acrimonious	We need to defuse this increasingly acrimonious situation.
acquit	Those who blame Bacon must acquit Essex of all wrong-doing.
acrimony	You were saved out of it and became the object of their acrimony.
acquisition	There are several reasons for the unsatisfactory financial results apart from the high price paid for the acquisition of the telegraphs.
acrobat	When five years old he was sent to the Ecole de Gymnase at Lyons and, after six months' training as an acrobat, made his first public appearance as The Little Wonder.
acrobatic	Fred Vokes was a man of real inventiveness as well as rare acrobatic skill.
acrobatics	The prince still has his signature acrobatics and more lifelike physical limitations.
acreage	The rye crop was 148,000 bushels, and the acreage 11,000.
acre	The chief wheat lands are in Victoria, South Australia and New South Wales; the yield averages about 9 bushels to the acre; this low average is due to the endeavour of settlers on new lands to cultivate larger areas than their resources can effectively deal with; the introduction of scientific farming should almost double the yield.
acronym	The word bosu is an acronym for both sides up or both sides utilized.
acropolis	Little was known of the buildings on the Acropolis in the pre-Persian period before the great excavations of 1885-1888, which rank among the most surprising achievements of modern research.
across	Could she make it across the lava field by herself?
acrylic	It forms an addition product with acrylic ester, which on heating loses nitrogen and leaves trimethylene dicarboxylic ester.
act	He did not act as if it was bothering him.
acrostic	This book is worthy of note on account of the quaint and sarcastic humour of its numerous acrostic verses.
acromegaly	Acromegaly results when hGH is over-produced after the onset of puberty.
acting	She is acting responsibly in his behalf.
actin	The energy is used to recapture calcium and to unlink actin and myosin.
actinic	A mixture of carbon bisulphide vapour and nitric oxide burns with a very intense blue-coloured flame, which is very rich in the violet or actinic rays.
actinia	The most familiar Anthozoan is the common sea-anemone, Actinia equina, L., and it will serve, although it does not form a skeleton or corallum, as a good example of the structure of a typical Anthozoan polyp or zooid.
actinidia	They may include hardy kiwis [Actinidia spp ], and grapes [Vitis spp] .
action	This book is a call to action, not complacency.
activate	He touched the communications device to activate it.
active	It's still active but it goes to voice mail.
actionable	This ensures that the work is relevant to you and immediately actionable, fitting the demands of your organization and your customers.
activism	Coldplay is well known for their social activism, especially in fair trade campaigns, and they give 10% of their earnings to charitable causes.
actinula	If the embryo is set free as a free-swimming, so-called planula-larva, in the blastula, parenchymula, or gastrula stage, then a free actinula stage is not found; if, on the other hand, a free actinula occurs, then there is no free planula stage.
activity	Their activity is off the charts.
activist	And at the same time he was a political agitator and peace activist.
activation	She touched her palm to the activation key, and the ground battle hologram sprung up before her.
actor	He was a spectator rather than an actor on the stage of the world.
activated	She set it on top of the control panel and assessed the results, then activated the generator's artificial intelligence so it would adjust as needed to power the town.
activator	One such drug is called tissue plasminogen activator (alteplase) which is a clot-dissolving drug not yet in common use in the UK.
actualization	For moral progress consists in the actualization of what is already potentially in existence.
actually	Had anyone actually told her that or had she merely assumed it?
actuality	In actuality, it was 7 weeks.
actuate	Most existing electronic locks use power-hungry solenoids to actuate the release mechanism.
actuary	We need the advice of a qualified actuary using the projected unit method.
actuator	A stator vane actuator is an integral part of the HMU.
actualize	Since Gemini likes to keep her options open, she's very difficult to get to commit; there will need to be other stabilizing aspects in her chart for that to actualize.
actuarial	May well become actuarial value of benefits maximize private health capitation methodology quot.
acumen	Capable lawyers with business acumen are valuable to any firm.
acuity	This causes a red very painful eye, with poor visual acuity.
acute	The branches grow at a more acute angle.
acupuncturist	An alternative to that is ten years experience as a certified acupuncturist.
acuteness	He had great acuteness, but little breadth.
acupuncture	By the 17th century, veterinary acupuncture became popular in Europe.
actual	Yet even now there were no actual facts to go upon.
acutely	I have been made acutely aware of that fact since I was a child.
ada	According to their Ada (which, however, have little authority), SS.
adagio	The true Adagio of the slow movement was testing for woodwind ensemble.
adamantly	She believed adamantly in the importance of friendship.
actress	Pretend like you're an actress, like Toni.
actively	They want to ensure you are actively searching for a job.
adapt	He needed to adapt his strategies when dealing with her.
adamantine	In the Mandaean representation the sky is an ocean of water, pure and clear, but of more than adamantine solidity, upon which the stars and planets sail.
adage	As the famous adage goes The show must go on, and it did.
adaptable	The design is also highly adaptable to a variety of network transports.
adaptation	Progress is the result of adaptation, rather than reconstruction.
adamant	He became adamant on this point.
adaptability	It is a safe, steady-running and trustworthy engine, with excellent distribution of weight, and it is susceptible of a wide range of adaptability in power requirements.
add	You couldn't add wood to the fire?
adapter	To this adapter is attached a flat circular flange h.
